Date,City,Category,Behaviours,Prison rescue,Begging,Factory visiting,Target,Public/Private,People/Property,People targeted in their homes?,Specific individuals targeted?,Locations,Start point,Latitude,Longitude,Space,Place,Starting Place,Type of space,Industrial,Duration,First day,Time,Working hours (7-7),monthyear,year,month,Weekday,Special date
1854 - April 9,Liverpool,Misc,Youths from Birkenhed throwing stones at youths from Tranmere,0,0,0,Rival gangs,Public,Both,No,No,Tranmere,"Tranmere, Liverpool, UK",53.3783943,-3.0164463,Street,,Street,Streets and fields,No,Hours,1854-04-09,Day,Y,1854-04,1854,April,Sunday,No
1854 - May 13,Liverpool,Misc,Fight at grave yard over order of burials,0,0,0,Each other,Public,Both,No,No,"Scotland Road, St Anthony's Catholic Burial Ground","Scotland Road, Liverpool, UK",53.4200719,-2.981921,Chapel,,Chapel,Church,No,Minutes,1854-05-13,Day,Y,1854-05,1854,May,Saturday,No
1854 - August 19,Liverpool,Identity,Faction fighting between Irish groups,0,0,0,Rival factions,Public,Both,No,No,Birkenhead North end,"Birkenhead North end, Liverpool, UK",NA,NA,Street,,Street,Streets and fields,No,Minutes,1854-08-19,Late at night (early Sunday morning),N,1854-08,1854,August,Saturday,No
1854 - September 2,Liverpool,Misc (anti-police),"Fighting police. Throwing stones. Trying to rescue prisoner, following all the way to the bridewell",0,0,0,Police,Public,Both,No,No,Great Howard street (Stewart street),"Great Howard street, Liverpool, UK",53.4192292,-2.996577,Street,,Street,Streets and fields,No,Hours,1854-09-02,Midnight,N,1854-09,1854,September,Saturday,No
1855 - February 19,Liverpool,Economic,Bread riot. Demanding bread and helping themselves to loaves. Some demanding money too. Forcing way into shops which had not fully closed shutters. Some shops totally stripped. Rescuing prisoners by stoning the police. Smashing windows and shutters after stealing everything inside. Money taken from pubs. Blamed on Irish. Shopkeeper throwing out loaves only to have them thrown back at him. Fighting with police. Carrying away bread in carts. Crowd pelting each other with raw dough. Gentleman riding by was attacked. Trying to sell on the loaves stolen in one part of town in another. Neighbours defending shops. Pawn shop also attacked,1,1,0,"Shops, pubs, Police",Public,Both,No,Gentleman riding by attacked,"Shaws Brow, Scotland Road, Vauxhall road, Dale street, Islington, Brunswick road, London Road, Moss street, Springfield and St Anne street, Paddington and Brownlow Hill, Great Howard street, St Johns Market, St pauls square, Tithebarn, Prescot street, Bootle, Clare street, BYrom, Mile End, Copperas Hill, Fairlough Lane, Limekiln Lane, Collingwood street, Dryden street, Kirkdale, Morley street, Everton Valley, Castle street, Bankfield street, Bootle road, Standish street, St John Lane, Wellington dock, FOx street, Prince Edwin street","Shaws Brow, Liverpool, UK",53.409439,-2.98025,"Streets, shops, pubs",,"Streets, shops, pubs",Streets and fields,No,Hours,1855-02-19,Morning (8/9am) till evening,Y,1855-02,1855,February,Monday,No
1857 - February 26,Liverpool,Economic,Turn outs attacking replacement workers and their tools. Mass meeting beforehand,1,0,0,Knobsticks,Public,Both,No,No,Birkenhead,"Birkenhead, Liverpool, UK",53.389991,-3.023009,Train tracks,,Train tracks,"Workplaces (factory, workshops, docks etc)",Yes,Minutes,1857-02-26,Afternoon (1pm),Y,1857-02,1857,February,Thursday,No
1858 - July 12,Liverpool,Identity,"Orange tea-party attacked by irish mob. Windows smashed, Police interfere and area attacked by bricks",0,0,0,Orange,Public,Both,No,No,"St Matthias church, Scotland Road","St Matthias church Scotland Road, Liverpool, UK",53.421063,-2.981611,Meeting,,Meeting,Church,No,Minutes,1858-07-12,Evening,N,1858-07,1858,July,Monday,12th July
1858 - July,Liverpool,Misc / Identity,Teetotaller meeting attacked. Stoning and one man attacked. Orangemen turn up to defend the meeting and rioters flee,0,0,0,Teetotaller meeting,Public,Both,No,No,St Matthew School Room,"St Matthew School Room, Liverpool, UK",NA,NA,Meeting,,Meeting,Meeting Hall,No,Hours,NA,??,,1858-07,1858,July,NA,No
1859 - January,Liverpool,Identity,Cardinal Wiseman's carriage is attacked by Orangeists,0,0,0,KNobsticks and police,Public,Both,No,Cardinal Wiseman,??,"St Helens, Liverpool, UK",53.456307,-2.737095,Colliery,,Colliery,"Workplaces (factory, workshops, docks etc)",No,Minutes,NA,??,,1859-01,1859,January,NA,No
1859 - May 31,Liverpool,Identity,Attack on factory of man who had proposed Protestant favouring bill. Scuffled with workmen inside. Window smashing. Rescuing prisoner. Police and town hall attacked. ,1,0,0,"Protestants, police, factory and town hall",Public,Both,No,Employer who proposed bill which favoured Protestants,Birkenhead,"Birkenhead, Liverpool, UK",53.389991,-3.023009,Factory,,Factory,"Workplaces (factory, workshops, docks etc)",No,Hours,1859-05-31,Afternoon (2.30pm),Y,1859-05,1859,May,Tuesday,No
1859 - June 12,Liverpool,Identity,"Religious disturbance at Old Swan village. Open air preachers giving offence to nearby Catholic chapel. POlice arrest preachers, attempted rescue, St Oswalds chapel is stoned. Fighting.",1,0,0,Church. Police,Public,Both,No,No,Old Swan Village. Islington market,"Old Swan Village, Liverpool, UK",53.414194,-2.907765,Open air meeting,,Open air meeting,Streets and fields,No,Hours,1859-06-12,Afternoon (3pm),Y,1859-06,1859,June,Sunday,No
1860 - February 5,Liverpool,Identity,"Riot in St George's Church. Goes on for months. Missiles thrown at alter, singing and chanting 'no popery' 'pusseyite' 'britains will never be slaves'.",0,0,0,Church,Public,Both,No,No,St George's in the East,"St George's in the East, Liverpool, UK",53.425344,-2.970703,Church,St Georgeâ€™s in the East,Church,Church,No,Hours (repeat over weeks),1860-02-05,Afternoon (4pm),Y,1860-02,1860,February,Sunday,No
1862 - October 8 and 15th,Liverpool,Identity,"Meeting attacked by Catholic crowd. Stoning windows. Fight with police. Firing chimneys. Throwing stones at police out of windows. Targeted specific protestant shops, churchs and pubs. Newspaper reporters attacked. PLundering shops or destroying goods within. Taking stones from newly macadamised road to attack police with.",1,0,0,"Meeting room. Police. Shops. Targeted chapels, pubs and shops. Newspaper reporters.",Public,Both,No,"Protestant shops, pubs and Chapels","Birkenhed, Watson street, Price street, Oake street, ","Watson street birkenhead, Liverpool, UK",53.3951416,-3.0264063,Meeting,,Meeting,Meeting Hall,No,Hours (escalate since week before),1862-10-15,Night (7pm/10pm) continues until early morning,N,1862-10,1862,October,Wednesday,No
1863 - August 3,Liverpool,Misc (anti-police),Clubs anniversaries. Policeman intervened and was attacked. Fight escalated. Mob armed.,0,0,0,Gents vs roughs,Public,Both,No,No,"Old Swan village, Oswald stret.","Old Swan village Oswald street, Liverpool, UK",53.4133659,-2.9136287,"Streets, pubs",,Pub,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,1863-08-03,Evening,N,1863-08,1863,August,Monday,No
1866 - October 5,Liverpool,Political,Factions fighting during a meeting. Escalated into general fight as meeting was about to start,0,0,0,"""reds"" vs 'whites' ",Public,Both,No,No,"Concert Hall, Lord Nelson Street","Concert Hall, Liverpool, UK",53.4011213,-2.969092,Meeting,Concert Hall,Meeting,Meeting Hall,No,Hours,1866-10-05,7:00 pm,N,1866-10,1866,October,Friday,No
1867 - January 18,Liverpool,Economic,Bread shops visited. Begging relief from houses. Bit of throwing stones at police. No attempts to rescue prisoners though. Coal carts overturned and looted. Quickly dispersed by police. Shops rapidly closed. ,0,1,0,"Shops, police, coal cart",Both,Both,Yes (begging at houses),No,"Everton. Nursery street, Burlington street, Scotland road Grea Homer street, ","Everton, Liverpool, UK",53.425713,-2.966368,"Streets, shops",,"Streets, shops",Streets and fields,Yes,Hours,1867-01-18,Midday,Y,1867-01,1867,January,Friday,No
1867 - February 9,Liverpool,Economic,Enforce boycott of drapers shop. Handing out bills in door. Smashing windows. Crowd very tumultous but not much violence,0,0,0,Particular shop,Public,Both,No,Specific drapers shop,Great George street,"Great George street, Liverpool, UK",53.3973494,-2.9761576,Shop,,Shop,Shop,No,Hours,1867-02-09,Evening (7pm),N,1867-02,1867,February,Saturday,No
1868 - April 27,Liverpool,Political,"unrest at hustings then when result declared gentlemen fighting on the Exchange, gas shades demolished, planes of glass smashed",0,0,0,Rival parties,Public,Both,No,No,Exchange,"North End, Liverpool, UK",NA,NA,Street,,Street,Streets and fields,No,Hours,1868-11-24,Evening,N,1868-11,1868,November,Tuesday,Election
1868 - November 24,Liverpool,Political / Misc (anti-police),Election celebration. Police try to stop effigy burning and are attacked,0,0,0,Police,Public,People,No,No,North End,"Exchange, Liverpool, UK",53.4082508,-2.9912139,Exchange,Exchange,Exchange,"Workplaces (factory, workshops, docks etc)",No,Hours,1868-04-27,??,,1868-04,1868,April,Monday,Election
1869 - June 6,Liverpool,Misc (anti-police),Officer stabbed to death after interfering in fight,0,0,0,Police,Public,People,No,No,Maguire street,"Maguire street, Liverpool, UK",53.415994,-2.988202,Street,,Street,Streets and fields,No,Hours,1869-06-06,??,,1869-06,1869,June,Sunday,No
1870 - May 3,Liverpool,Identity,Irish faction fighting. Armed. throwing stuff off roofs,0,0,0,Rival factions,Public,Both,No,No,Marybone,"Marybone, Liverpool, UK",53.411874,-2.986661,Street,,Street,Streets and fields,No,Hours,1870-05-03,Evening (7-9pm),N,1870-05,1870,May,Tuesday,No
1872 - July 15,Liverpool,Identity,Orange demo attacked. Throwing stuff off roofs into courts below. Stoning cars bearing orange colours,0,0,0,Orange vs Irish,Public,Both,No,No,"Scotland Road, Bostack street, Kew street","Scotland Road, Liverpool, UK",53.4200719,-2.981921,Street (procession),,Street (procession),Streets and fields,No,Hours,1872-07-15,Evening,N,1872-07,1872,July,Monday,12th July
1873 - July 12,Liverpool,Identity,Orangemen refusing police orders. Attack police,0,0,0,Police,Public,People,No,No,West Derby Road,"West Derby Road, Liverpool, UK",53.4224503,-2.9403539,Street (procession),,Street (procession),Streets and fields,No,Minutes,1873-07-12,Afternoon and evening (6.30pm),Y,1873-07,1873,July,Saturday,12th July
1875 - March 28,Liverpool,Identity,Revivalist procession attacked with stones. Easily dispersed by police,0,0,0,Revivalists,Public,People,No,No,Sawney Pope street and Fontenoy street,"Sawney Pope street, Liverpool, UK",53.413214,-2.983351,Street (procession),,Street (procession),Streets and fields,No,Hours,1875-03-28,Evening (after 6pm),Y,1875-03,1875,March,Sunday,No
1877 - June 24,Liverpool,Identity / Misc (anti-police),Police try to stop Irish st john's eve bonfires. Bottles thrown from rooftops,0,0,0,Police,Public,Both,No,No,"Stockdale street, Marybone","Stockdale street, Liverpool, UK",53.412594,-2.9880035,Street,,Street,Streets and fields,No,Hours,1877-06-24,Evening,N,1877-06,1877,June,Sunday,St Johnâ€™s Eve
1877 â€“ December 31,Liverpool,Identity,Catholic band parading. Protesant church attacked. houses stoned indiscriminately,0,0,0,"Protestant church. Homes. Passersby, windows",Both,Both,No,No,North end Birkenhead. Dock cottages,"North end Birkenhead Dock cottages, Liverpool, UK",53.403018,-3.057105,Street,,Street,Streets and fields,No,Hours,1877-12-31,Evening,N,1877-12,1877,December,Monday,New Years Eve
1878 - April 2,Liverpool,Identity / Economic,Race riot at Sailor's Home. Fighting in street. Throwing bricks. Hiding in Paradise street,0,0,0,Black vs White sailors,Public,People,No,No,"Sailor's Home. Frederick street, Paradise street","Frederick street, Liverpool, UK",53.402013,-2.986794,Sailors House,Sailors House,Sailors House,"Workplaces (factory, workshops, docks etc)",Yes,Hours,1878-04-02,Night,N,1878-04,1878,April,Tuesday,No
1878 - July 12,Liverpool,Identity,Orange parade. Bit of stone throwing and scuffling. Window smashing. Burning effigies. Nothing too serious.,0,0,0,Orange parade,Public,Both,No,No,Scotland Road. Tindal street. Marybone. Mann street. MIll street,"Scotland Road, Liverpool, UK",53.4200719,-2.981921,Street,,Street,Streets and fields,No,Hours,1878-07-12,Mainly evening,N,1878-07,1878,July,Friday,12th July
1879 - February 7,Liverpool,Economic,"Dock labourers, carters and sailors strike. Parading through town. Marching from dock to dock spreading the strike. Breaking up the staging, ships. Threatening workers and fighting police. ",0,0,1,Scab,Public,Both,No,No,All along the docks,"docks, Liverpool, UK",53.4001431,-2.9939858,Docks,Docks,Docks,"Workplaces (factory, workshops, docks etc)",Yes,Hours,1879-02-07,Afternoon (1pm),Y,1879-02,1879,February,Friday,No
1879 - July 16,Liverpool,Economic,"Brickmakers strike. Union men attack non-union men. Bricks, tools being used as missiles. Police attacked when they tried to intervene. Long running dispute. Escalating conflict",0,0,0,"Non-union men, police",Public,Both,No,No,"Bootle, Breeze hill","Breeze hill Bootle, Liverpool, UK",53.447642,-2.9756981,"Brickfield, pub",,"Pub, Brickfield","Workplaces (factory, workshops, docks etc)",Yes,Hours,1879-07-16,12:00 pm,Y,1879-07,1879,July,Wednesday,No
1879 - August 24,Liverpool,Misc (Salvation Army),"Young girl arrested for stone throwing at Salvation meeting. Police escort head of Salvationists home but crowd gathers and stones them, another girl arrested, she and police go into Salvationist chapel for protection, rumour spreads that Salvationists are locking up Catholic Girls, crowd grows and threaten to storm chapel, mob broke windows and pushed through doors, chief of police arrive with reinforcements, then they release girl to a cheer from the crowd. Police then clear streets. Leaders of Salvationists taken away by police for protection, crowd lash out at them at every corner.",1,0,0,Salvation Army,Public,Both,No,No,??,"??, Liverpool, UK",NA,NA,"Street, Chapel",,Street,Streets and fields,No,Hours,1879-08-24,Day,Y,1879-08,1879,August,Sunday,No
1880 - August 5,Liverpool,Political,Liberal rally. Fighting with crowd. Police attacked. Rescuing prisoners. Torch bearers,1,0,0,Crowd vs rally vs police,Public,People,No,No,St George's Hall,"St George's Hall, Liverpool, UK",53.4086992,-2.9801682,Open air meeting,St Georgeâ€™s Hall,Open air meeting,Streets and fields,No,Hours,1880-08-05,Evening (8.30pm,N,1880-08,1880,August,Thursday,Election
1882 - June 27,Liverpool,Misc (anti-police),Police arrest someone for being drunnk and disorderly. Rescue prisoner and police violently attacked. ,1,0,0,Police,Public,People,No,No,Marybone,"Marybone, Liverpool, UK",53.411874,-2.986661,Street,Street,Street,Streets and fields,No,Hours,1882-06-27,8:00 pm,N,1882-06,1882,June,Tuesday,No
1882 - August 24,Liverpool,Identity,Ritualist church attacked and services disrupted. Several gentlemen attacked as mob tried to force way in,0,0,0,Ritualist church,Public,Both,No,No,"St Judes, Hardwick street","Hardwick street, Liverpool, UK",53.41009,-2.965238,Church,St Judes,Church,Church,No,Minutes,1882-08-24,Afternoon,Y,1882-08,1882,August,Thursday,No
1882 - September 17,Liverpool,Identity,Orange placard outside ritualist church. Mob hoot vicar and try to stop choiristers proceeding down aisle. Fight,0,0,0,Ritualist church,Public,People,No,No,Birkenhead church,"Birkenhead church, Liverpool, UK",NA,NA,Church,Birkenhead Church,Church,Church,No,Minutes,1882-09-17,Afternoon,Y,1882-09,1882,September,Sunday,No
1882 - December 31,Liverpool,Misc (Salvation Army),Salvatino Army attacked by locals. Crowd of women with stones in aprons order music to be stopped everytime they passed place of worship.,0,0,0,Salvation Army,Public,People,No,No,"Birkenhead, Brassey street, Dock Cottages","Brassey street Birkenhead , Liverpool, UK",53.399062,-3.045933,Street (procession),,Street (procession),Streets and fields,No,Minutes,1882-12-31,Afternoon,Y,1882-12,1882,December,Sunday,No
1883 - January,Liverpool,Misc (Salvation Army),Salvation Army stoned. Women leading,0,0,0,Salvation Army,Public,People,No,No,Birkenhead,"Birkenhead, Liverpool, UK",53.389991,-3.023009,Street (procession),,Street (procession),Streets and fields,No,Repeated,NA,Afternoon,Y,1883-01,1883,January,Sunday,No
1883 - October 7,Liverpool,Misc (Salvation Army),Salvationist march attacked with bricks and stones from nearby building sites. SA retaliated. Police separate two sides. Women collecting stones and laying them down for others to throw. SA attacked two girls following the procession,0,0,0,Salvation Army,Public,People,No,No,"Birkenhead, Victoria street. St Anne street. Bentick street.","Birkenhead, Liverpool, UK",53.389991,-3.023009,Street (procession),,Street (procession),Streets and fields,No,Hours,1883-10-07,Afternoon (2-3pm) into evening (8-9pm),Y,1883-10,1883,October,Sunday,No
1886 - April 10,Liverpool,Identity,Tit for tat escalation. Bands involved in leading attacks and being attacked. MelÃ©es. Stoning rival churches. ,0,0,0,Orange vs Irish. Police also attacked,Public,Both,No,No,"Addison street, Toxteth, North End, Downe street, South end","Addison street, Liverpool, UK",53.4128235,-2.9844497,Street (procession),,Street (procession),Streets and fields,No,Minutes,1886-04-10,??,,1886-04,1886,April,Saturday,No
1886 â€“ April,Liverpool,Identity,Catholic service disturbed and stoned,0,0,0,Catholic church,Public,People,No,No,"Toxteth, Our Lady of Mt Carmey Chapel. High Park Street","Our Lady of Mt Carmey Chapel Toxteth, Liverpool, UK",53.3869982,-2.9632589,Church,Our Lady of Mt Carmel Catholic Chapel,Church,Church,No,Week,NA,Afternoon,Y,1886-04,1886,April,NA,No
1886 - April 3,Liverpool,Identity,Police arrest two drunk men. Drum and fife band. Prisoner rescue. Stoning police,1,0,0,Police,Public,People,No,No,"Kelvin street, Kennsington","Kelvin street, Liverpool, UK",53.3900754,-2.9572373,Street (procession),,Street (procession),Streets and fields,No,Hours,1886-04-03,??,,1886-04,1886,April,Saturday,No
1886 - July 2,Liverpool,Political / Identity,Orange band marching after declaration of polls. Stone catholic church and school. Liveral committee room attacked that night. Liberals attacked,0,0,0,Liberals/catholics,Public,Both,No,No,Toxteth. St Patricks Chapel. Low Hill,"St Patricks Chapel, Liverpool, UK",53.3921406,-2.9716248,Church,St Patricks Chapel,Church,Church,No,Hours,1886-07-02,Midnight,N,1886-07,1886,July,Friday,Election
1886 - July 5,Liverpool,Political / Identity,"Follow on from election unrest. Specific houses attacked with stones. Windows smashed, furniture carried away or destroyed. Rioters assaulted those inside or outside houses. CONNECTED TO ABOVE.",0,0,0,Liberals/catholics. Private homes.,Private,Both,Yes,Liberals,Downe street. Richmond Row area.,"Downe street, Liverpool, UK",53.412965,-2.979698,House,,House,Home,No,Days,1886-07-05,Evening (8pm),N,1886-07,1886,July,Monday,No
1886 - September 19,Liverpool,Political / Identity,"Orange band and Catholic band meet, leading to fighting. Stoning and bricks being thrown. Orange were going to disrupt socialist meeting. Home Rulers attaacking ships carpenters. Peopl on roofs. Windows smashed all the way between meeting place and park road. Meeting disrupted by heckling and stoning. ",0,0,0,Orange vs Home Rulers  vs Police,Public,Both,No,No,"Toxteth. Essex street. Hyalcop Street, Northumberland street, Mill street, Beaufort street. Toxteth street, ","Toxteth, Liverpool, UK",53.3864273,-2.967451,Open air meeting,Parish Hall,Open air meeting,Streets and fields,No,Hours,1886-09-19,Afternoon (2 and 3pm),Y,1886-09,1886,September,Sunday,No
1886 - November 8,Liverpool,Misc,Closing of Liverpool Exhibition. rioting youths resisting waiters and police who try to evict them.,0,0,0,Police,Public,People,No,No,Liverpool Exhibition at Wavertree Botanic Gardens,"Wavertree Botanic Gardens, Liverpool, UK",53.4064238,-2.9421228,Fete (Liverpool Exhibition),Botanic Gardens,Fete,"Places of leisure (pubs, theatres, football grounds etc)",No,Hours,1886-11-08,Evening,N,1886-11,1886,November,Monday,No
1887 - June,Liverpool,Identity,demo at St George;s Hall. open air preachers stoned,0,0,0,Preachers,Public,People,No,No,"St George's Hall, William Brown street","St George's Hall William Brown street, Liverpool, UK",53.4086992,-2.9801682,Open air meeting,,Open air meeting,Streets and fields,No,Minutes,NA,??,,1887-06,1887,June,NA,No
1887 - June,Liverpool,Political / Identity,Stone throwing at Orange and Socialist meetings,0,0,0,Orange vs Socialists,Public,People,No,No,William Brown and Lime streets,"Lime street, Liverpool, UK",53.4074665,-2.9796492,Open air meeting,,Open air meeting,Streets and fields,No,Hours,NA,??,,1887-06,1887,June,NA,No
1887 - July 12,Liverpool,Identity,Fights in evening. Stone throwins. ,0,0,0,Orange vs Catholics,Public,People,No,No,South end,"South end, Liverpool, UK",53.3881558,-2.9580596,Street,,Street,Streets and fields,No,Hours,1887-07-12,Evening,N,1887-07,1887,July,Tuesday,No
1887 - August 14,Liverpool,Misc (Salvation Army),"1887 anniversary procession along narrow Liverpool streets, Salvationists met ""threatening"" crowds. A ""disgraceful disturbance"" took place at the corner of Everton and West Derby Roads during the customary march prior to the Sunday afternoon meeting. Young men jeered at them. A crowd of several hundreds jostled the Salvationists and one young man ""deliberately put his foot through the bass drum,"" a common object of the opposition.[57] A woman, ""evidently drunk, threw herself headlong in front of the procession"" and bashed the leader, Major Rees, over the head with her market basket. After rolling in the gutter and throwing her boots at marchers, she was brought under control by the police, who made ""things safe and pleasant for us,"" according the War Cry report. On Sunday an old woman of at least sixty threw oyster shells at Rees as Salvationists marched in the ""worst streets."" Captain Welshaw encouraged the people to avoid the gods of""the multitudes,"" including ""Drink, the pipe, the fashions,"" and to ""imitate the Hebrew children, and make a stand for God.""",0,0,0,Salvation Army,Public,People,No,No,corner of Everton and West Derby Roads,"West Derby Road (Everton Road), Liverpool, UK",53.414357,-2.961914,Street (procession),,Street (procession),Streets and fields,No,Minutes,1887-08-14,Afternoon,Y,1887-08,1887,August,Sunday,No
1889 - June 18,Liverpool,Economic,INtimidation by striking sailors. Assaults on non-strikers. Fighting police. Marching around with bands to spread strike,0,0,1,Scabs. Police,Public,People,No,No,"Sailor's Home, Alexandra Docks. BIrkenhead North Docks, Bootle, Strand Road, Regent Road, Denison street, ","Sailor's Home, Liverpool, UK",53.401873,-2.98826,Sailors House,Sailors House,Sailors House,"Workplaces (factory, workshops, docks etc)",Yes,Hours,1889-06-18,Evening,N,1889-06,1889,June,Tuesday,No
1889 - July,Liverpool,Identity,Irish National League meeting ends in violence,0,0,0,Irish National League vs Protestants,Public,People,No,No,??,??,NA,NA,Meeting,,Meeting,Meeting Hall,No,Minutes,NA,?? Evening presumably,N,1889-07,1889,July,NA,No
1892 - June,Liverpool,Identity,Mosque attacked,0,0,0,Muslim worshippers,Public,Both,No,No,Brougham Terrace,"Brougham Terrace, Liverpool, UK",53.414349,-2.960395,Mosque,,Mosque,Church,No,Hours?,NA,??,,1892-06,1892,June,NA,No
1892 - June 19,Liverpool,Political,Election rioting,0,0,0,Ritualist church,??,??,??,??,??,??,NA,NA,??,,,??,No,Hours,1892-06-19,??,,1892-06,1892,June,Sunday,Election
1898 - July 17,Liverpool,Identity,Attempt to storm alter of ritualist church. Hooting and protest read out. Chairs and books thrown around,0,0,0,Ritualist church,Public,Both,No,No,"Warwick street, Toxteth. St Thomas's Church","Warwick street Toxteth, Liverpool, UK",53.3900132,-2.974989,Church,St Thomas Church,Church,Church,No,Minutes,1898-07-17,Afternoon,Y,1898-07,1898,July,Sunday,No
1901 - May 16,Liverpool,Identity,"Orange drum and fife band attacked. Police wat to ban them eg 16th attacked by Catholics (Islington Square), 19th (Boaler street and Sheil Road), 20 to 30 catholics throwing stones at them",0,0,0,Orange & Wiseites,Public,Both,No,No,Islington Square,"Islington Square, Liverpool, UK",53.4113113,-2.9733786,Street,Islington Square,Street,Streets and fields,No,Hours,16/05/1901,??,,1901-05,1901,May,Thursday,No
1901 - May 19,Liverpool,Identity,"Orange drum and fife band attacked. Police wat to ban them eg 16th attacked by Catholics (Islington Square), 19th (Boaler street and Sheil Road), 20 to 30 catholics throwing stones at them",0,0,0,Orange & Wiseites,Public,Both,No,No,Boaler street and Sheil Road,"Boaler Street, Liverpool, UK",53.417305,-2.946301,Street,,Street,Streets and fields,No,Hours,19/05/1901,??,,1901-05,1901,May,Sunday,No
1901 - May 25,Liverpool,Identity,"Orange drum and fife band attacked. Police wat to ban them eg 16th attacked by Catholics (Islington Square), 19th (Boaler street and Sheil Road), 20 to 30 catholics throwing stones at them",0,0,0,Orange & Wiseites,Public,Both,No,No,St Georg'es plateau,"St Georges plateau, Liverpool, UK",53.4086992,-2.9801682,Street (procession),St Georgeâ€™s Plateau,Street (procession),Streets and fields,No,Hours,25/05/1901,??,,1901-05,1901,May,Saturday,No
1902 - January 5,Liverpool,Political,Anti-war pamphleteer's house is attacked,0,0,0,Private home,Private,Both,Yes,Anti-war pamphleteer,??,"??, Liverpool, UK",NA,NA,House,,House,Home,No,Hours,05/01/1902,??,,1902-01,1902,January,Sunday,No
1902 - September,Liverpool,Identity / Anti-police,Kensit Crusade meeting attack police,0,0,0,Police,Public,People,No,No,Islington Square,"Islington Square, Liverpool, UK",53.4113113,-2.9733786,Street,Islington Square,Street,Streets and fields,No,Hours,NA,??,,1902-09,1902,September,NA,No
1902 - September 21,Liverpool,Identity,Wiseite crusade attacked in Liverpool. Religious riot in Birkenhead,0,0,0,Wiseites,Public,Both,No,No,Liverpool & SEPARATE EVENT in Birkenhead & and another event next day in Birkenhead,"Birkenhead, Liverpool, UK",53.389991,-3.023009,Street,,Street,Streets and fields,No,Hours,21/09/1902,??,,1902-09,1902,September,Sunday,No
1902 - September 25,Liverpool,Identity,"Kensit meeting attacked by missiles, sharp iron pole",0,0,0,Kensites,Public,Both,No,No,"Birkenhead, Claughton Music Hall","Claughton Music Hall Birkenhead, Liverpool, UK",53.390574,-3.028319,Meeting,Claughton Music Hall,Meeting,Meeting Hall,No,Hours,25/09/1902,Evening,N,1902-09,1902,September,Thursday,No
1902 - October 3,Liverpool,Identity,Huge Catholic and Kensit meetings near each other. Skirmishes with police but managed to keep them apart,0,0,0,Police,Public,Both,No,No,Breckfield Road. Everton.,"Breckfield Road Everton, Liverpool, UK",53.4244934,-2.9632544,Open air meeting,,Open air meeting,Streets and fields,No,Hours,03/10/1902,Night,N,1902-10,1902,October,Friday,No
1902 - October 5,Liverpool,Identity,More sunday night religious disturbances,0,0,0,Protestant vs Catholics,Public,Both,No,No,??,??,NA,NA,??,,,??,No,Hours,05/10/1902,Night,N,1902-10,1902,October,Sunday,No
1903 - April 24 & 25,Liverpool,Identity,"Protestand band attacked. Big protestant demo, arrests, prisoner rescue. Stones thrown. ",0,0,0,Police,Public,People,No,No,24th street. St George's hall,"St George's hall, Liverpool, UK",53.4086992,-2.9801682,Open air meeting,St Georgeâ€™s Hall,Open air meeting,Streets and fields,No,Hours,24/04/1903,Evening (done by 8pm),N,1903-04,1903,April,Friday,No
1903 - June 21,Liverpool,Identity,"Kensit crusade attacked by local crowd. Some of Wycliffe preachers arrested, prisoner rescues",0,0,0,Kensites,Public,People,No,No,"Haymarket, Birkenhead Park","Haymarket, Liverpool, UK",53.408887,-2.982545,Open air meeting,,Open air meeting,Streets and fields,No,Hours,21/06/1903,Afternoon,Y,1903-06,1903,June,Sunday,No
1903 - September 6,Liverpool,Identity,Wiseite meeting disturbances. Arrests leads to fighting police. Sticks and stones thrown,0,0,0,Police,Public,People,No,No,Old Swan village. Islington Square to Plateau,"Old Swan village, Liverpool, UK",53.414194,-2.907765,Open air meeting,,Open air meeting,Streets and fields,No,Hours,06/09/1903,? Afternoon,Y,1903-09,1903,September,Sunday,No
1904 - March 27,Liverpool,Identity,Wiseite march attacked by catholics. MIssiles thrown. Triggered by attempt to cut the drummers drum. Both sides with flags and banners. Dispersed by police and eventually Wiseites make it to St Georges and hold meeting,0,0,0,Wiseites vs Catholics,Public,People,No,No,"Toxteth, Mill street","Mill street, Liverpool, UK",53.3872253,-2.9720424,Street (procession),,Street (procession),Streets and fields,No,Hours,27/03/1904,Noon,Y,1904-03,1904,March,Sunday,No
1904 - April 16 & 17,Liverpool,Identity,Orange bands parading after meeting. Catholic vs Protestant skirmishes. Police intervene and area assaulted. Renewed next day,0,0,0,WIseites vs Catholics. Police,Public,People,No,No,"South Hill Road, Mill street. ","South Hill Road, Liverpool, UK",53.3805391,-2.9622559,Street,,Street,Streets and fields,No,Days,16/04/1904,Afternoon,Y,1904-04,1904,April,Saturday,No
1905 - August 26 & 27,Liverpool,Identity,Protestant band parading near the 'bogs' is attacked. Fight breaks out after attempted arrest by off-duty offcer. Irish National Forresters meeting next day parading with band and stoning protestant houses and fight breaks out. Invading each others home terrritory looking for fights,1,0,0,Irish catholics vs Protestants,Public,People,No,No,Garston. the Bogs. Window Lane. Kind street,"Window Lane Garston, Liverpool, UK",53.3494136,-2.8962,Street,,Street,Streets and fields,No,Days,26/08/1905,Evening (9pm) then afternoon (3pm),Y,1905-08,1905,August,Saturday,No
