name,type of protest,broad type,colour,description of place,type of place,date,day,time,address,place,latitude,longitude,attendance,source,links and further info
burning of effigy of D of wellington,,radical,large_green,market place/Cross,market,08/11/1830,Monday,20:00,,Carlisle,54.894508,-2.935713,,Carlisle Journal 13 Nov 1830,
burning of effigy of Mr Peel,,radical,large_green,market place/Cross,market,09/11/1830,Tuesday,,,Carlisle,54.894508,-2.935713,,Carlisle Journal 13 Nov 1830,
radical reform procession,,radical,large_green,market place/Cross,market,10/11/1830,Wednesday,,,Carlisle,54.894508,-2.935713,,Carlisle Journal 13 Nov 1830,
Northern Union procession in honour of Hunt,,radical,large_green,market place/Cross,market,25/12/1830,Monday,,,Carlisle,54.894508,-2.935713,,"Carlisle Journal, 1 Jan 1831",
second reading of Reform Bill,,reform,grn_circle,market place/Cross,market,22/03/1831,Thursday,22:30,,Carlisle,54.894508,-2.935713,,"Carlisle Journal, 24 March 1831",
burning of effigy of Spencer Perceval Esq,,radical,large_green,market place,market,21/03/1832,Wednesday,,,Carlisle,54.894573,-2.935758,,D HOD 13/61,
Chartist meeting addressed By George Harney,,Chartist,pink_circle,market place/moot hall steps,market,01/01/1839,,,,Carlisle,54.894573,-2.935758,,"William Farish, 38",
O'Connor address the people on arrests of several members of convention,,Chartist,pink_circle,market place,market,25/06/1839,Tuesday,20:00,,Carlisle,54.894573,-2.935758,,NS 29 June 1839,
celebration of HM birthday,,patriotic,blu_circle,Lion and Lamb,pub,04/06/1801,Thursday,,Scotch Street,Carlisle,54.896428,-2.935498,,Carlisle Journal 6 June 1801,
celebration of HM birthday,,patriotic,blu_circle,King's Arms,inn/hotel,04/06/1801,Thursday,,,Carlisle,54.894212,-2.935251,,Carlisle Journal 6 June 1801,
celebration of king's birthday,,patriotic,blu_circle,King's Arms,inn/hotel,04/06/1818,,,,Carlisle,54.894212,-2.935251,,Carlisle Patriot 6 June 1818,
Wellington Society 4th anniversary,,loyal,large_blue,King's Arms,inn/hotel,01/06/1819,,,,Carlisle,54.894212,-2.935251,36,Carlisle Journal 19 June 1819,
peace petition lies for signs,,radical,large_green,Blue Bell,inn/hotel,08/01/1795,,,Scotch Street,Carlisle,54.8953,-2.9359,,Cumberland Pacquet 13 jan 1795,http://www.britishlistedbuildings.co.uk/en-386861-60-scotch-street-cumbria#.VU3lnJMtKT8
reform petition meeting,,reform,grn_circle,"Blue Bell Inn, Scotch St",inn/hotel,13/12/1830,Monday,,Scotch Street,Carlisle,54.8953,-2.9359,500,"Carlisle Journal, 18 Dec 1830",http://www.britishlistedbuildings.co.uk/en-386861-60-scotch-street-cumbria#.VU3lnJMtKT8
HM's birthday procession,,patriotic,blu_circle,"Granary, Lowther St",street,28/05/1792,Monday,10:00,Lowther Street,Carlisle,54.896618,-2.933811,,"Cumberland Pacquet, 29 May 1792",
Friends of the People meetings,,radical,large_green,Brown's Buildings,own room,01/01/1817,,,,Carlisle,54.89009,-2.929498,,"Barnes, 206",
procession in honour of Mr Hunt,,radical,large_green,Brown's Row/Botchergate,street,25/12/1830,Monday,14:00,Botchergate,Carlisle,54.89009,-2.929498,,"Carlisle Journal, 1 Jan 1831",
food riot outside,,riot,target,Scotch Arms,street,27/07/1795,Monday,14:00,,Carlisle,54.896116,-2.935436,,"Barnes thesis, 71",
meeting of subscribers to police office,,local government,large_yellow,Police Office,magistrates office,07/02/1823,Friday,,,Carlisle,54.894838,-2.935654,,"Carlisle Patriot, 8 Feb 1823",
female radical society meeting,,radical,large_green,Mr Sinclair's beaming machine,workplace,17/12/1838,,,,Carlisle,54.88852,-2.93387,,NS 22 Dec 1838,
2 public meeting to arrange for O'C's visit,,Chartist,pink_circle,"machine rooms, Water Lane, Willow Holme",workplace,25/10/1841,Monday,20:00,Water Lane,Carlisle,54.88852,-2.93387,,NS 30 Oct 1841,
nightly meetings awaiting news from Manchester plug strikes,,Chartist,pink_circle,Caldewgate,street,01/08/1842,,,Caldewgate,Carlisle,54.894767,-2.946586,,Barnes 357,
large Chartist meeting on whether to strike,,Chartist,pink_circle,"Rigg Street, Caldewgate",street,21/08/1842,Sunday,22:00,Caldewgate,Carlisle,54.893989,-2.947458,,Banres 358,
Political Union committee room,,radical,large_green,"committee room of PU, Union Street, Caldewgate",own room,01/06/1819,,,Caldewgate,Carlisle,54.893582,-2.947243,,"Barnes, 201.",
Hampden club meeting,,radical,large_green,"Green Dragon, Scotch St",pub,01/01/1817,,,Scotch Street,Carlisle,54.896073,-2.935318,,"Barnes, 206",
peace petition lies for signs,,radical,large_green,F Jollie's shop,workplace,08/01/1805,,,34 Scotch Street,Carlisle,54.896428,-2.935498,,Cumberland Pacquet 13 jan 1795,https://books.google.co.uk/books?id=HS4AAAAAYAAJ&dq=jollie%20shop%20carlisle&pg=PA219#v=onepage&q=jollie%20shop%20carlisle&f=false; http://www.cumberlandnews.co.uk/carlisle-s-first-history-man-failed-in-trade-1.618848
petition against two bills lies for sigs,,radical,large_green,"Mr Mitchell's, bookseller, Fisher St",shop,01/12/1795,,,Fisher Street,Carlisle,54.895726,-2.937601,,Cumberland Pacuet 1 Dec 1795,
radical meeting,,radical,large_green,Willow Holme,street,01/01/1817,,,,Carlisle,54.897944,-2.948282,,York Herald 11 Jan 1817,
"address of sec of Chartists, Henry Bowman",,Chartist,pink_circle,18 Union St Botchergate,own room,30/04/1839,,,Botchergate,Carlisle,54.890867,-2.930933,,Add MS 34245A,
meeting of council on victim fund,,Chartist,pink_circle,"Chartist Association Room, 6 John St, Caldewgate",own room,24/09/1843,Sunday,,Botchergate,Carlisle,54.890867,-2.930933,,NS 30 Sep 1843,
radical meeting on Peterloo,,radical,large_green,"Coalfell hill, mile w of Carlisle",moor/field,11/10/1819,Monday,,,Carlisle,54.892027,-2.976812,,Morn Chron 15 Oct 1819; Westmorland Gazette 9 Oct 1819,
meeting of radicals,,radical,large_green,"Coalfell hill, Carlisle",moor/field,01/11/1819,Monday,,,Carlisle,54.892027,-2.976812,,"Newcastle Courant, 13 Nov 1819; Westmorland Gazette 13 Nov 1819",
weavers' meeting to strike,,trade union,pink_square,"the Sands, Carlisle",open space,11/05/1819,Tuesday,,,Carlisle,54.90006,-2.934283,,"Westmorland Gazette, 3 June 1819 from Carlisle Patriot, 29 May 1819",
weavers' meeting on strike,,trade union,pink_square,"the Sands, Carlisle",open space,28/05/1819,,,,Carlisle,54.90006,-2.934283,,"Westmorland Gazette, 3 June 1819 from Carlisle Patriot, 29 May 1819",
weavers on distress,,trade union,pink_square,"the Sands, Carlisle",open space,02/06/1819,Friday,,,Carlisle,54.90006,-2.934283,,Westmorland Gazette 3 June 1819,
weavers on distress,,trade union,pink_square,"the Sands, Carlisle",open space,22/06/1829,Monday,,,Carlisle,54.90006,-2.934283,,Carlisle Journal 20 June 1829,
reform,,reform,grn_circle,"the Sands, Carlisle",open space,29/08/1830,Monday,20:00,,Carlisle,54.90006,-2.934283,,Carlisle Journal 4 Sep 1830,
reform,,reform,grn_circle,"the Sands, Carlisle",open space,20/09/1830,Tuesday,,,Carlisle,54.90006,-2.934283,,Carlisle Journal 18 sep 1830,
Chartist meeting,,Chartist,pink_circle,"the Sands, Carlisle",open space,01/10/1838,,,,Carlisle,54.90006,-2.934283,,Barnes thesis 335.,
Chartist meeting,,Chartist,pink_circle,"the Sands, Carlisle",open space,22/05/1839,Tuesday,,,Carlisle,54.90006,-2.934283,,"Towill, 109; HO 40/41/408",
Chartist meeting to present address to HM to release Welsh patriotis,,Chartist,pink_circle,"the Sands, Carlisle",open space,10/02/1840,Monday,,,Carlisle,54.90006,-2.934283,,NS 15 Feb 1840,
great reform meeting,,radical,large_green,"open space at Willowholme, Carlisle",open space,01/01/1817,,,,Carlisle,54.897944,-2.948282,,"Barnes, 206.",
great Chartist meeting,,Chartist,pink_circle,Old Bowling Green,green,16/07/1839,Tuesday,,,Kendal,54.324747,-2.750585,,NS 20 July 1839,http://www.geog.port.ac.uk/webmap/thelakes/html/lgaz/lk33745.htm
meeting to subscribe to Patriotic Fund for thanksgiving for victories,,patriotic,blu_circle,town hall,town hall,02/12/1805,Monday,,,Kendal,54.326951,-2.74735,,Lancaster Gazette 7 Dec 1805,
meeting to drink the king's health on his birthday,,patriotic,blu_circle,town hall,town hall,04/06/1807,Thursday,,,Kendal,54.326951,-2.74735,,Lancaster Gazette 6 june 1807,
meeting of principal inhabs for clearing the town of vagrants,,local government,large_yellow,town hall,town hall,15/04/1818,,,,Kendal,54.326951,-2.74735,,Westmorland Gazette 23 May 1818,
address of Mr Brougham to the populace,,election,ltblu_circle,King's Arms Inn,inn/hotel,13/06/1818,Saturday,,,Kendal,54.328091,-2.747571,,Westmorland Gazette 20 June 1818,http://www.geog.port.ac.uk/webmap/thelakes/html/lgaz/lk06414.htm
feu de joie on anniversary of Waterloo,,patriotic,blu_circle,Highgate nearly opposite New St,street,12/06/1818,Thursday,,,Kendal,54.326693,-2.747593,,Westmorland Gazette 20 June 1818,
Brougham addressed the populace from the window,,election,ltblu_circle,"Committee Room, Crown Inn",inn/hotel,15/06/1818,Monday,,,Kendal,54.32858,-2.747275,,Westmorland Gazette 20 June 1818,
Brougham addressed crowd calling for enquiry into Peterloo,,radical,large_green,hustings in front of Mr Thomson's premises in Stricklandgate,street,20/10/1819,Wednesday,,,Kendal,54.328416,-2.747208,,Westmorland Gazette 23 Oct 1819,
county meeting on petitioning parl on reduction of public expenditure,,local government,large_yellow,castle yard,open space,15/03/1816,Friday,12:00,,York,53.956352,-1.079629,4000,Sheffield Iris 19 March 1816,
York county meeting of union societies on Peterloo,,radical,large_green,castle yard,open space,14/10/1819,Thursday,,,York,53.956352,-1.079629,,Hull Packet 19 October 1819; Yorks Gazette 9 Oct 1819,
election hustings and poll,,election,ltblu_circle,castle yard,open space,31/07/1830,,,,York,53.956352,-1.079629,,,
election hustings and poll,,election,ltblu_circle,castle yard,open space,01/05/1831,,,,York,53.956352,-1.079629,,Sheff Indepn 7 May 1831,
10 hours meeting,,10 hours,pink_square,castle yard,open space,24/04/1832,,,,York,53.956352,-1.079629,,"History of Factory movement, 235",
loyal meeting,,loyal,large_blue,Guild Hall,guild hall,17/12/1792,Monday,,,York,53.959776,-1.085275,,LM 22 Dec 1792,
jubilee meeting to address HM,,patriotic,blu_circle,Guild Hall,guild hall,25/10/1809,,,,York,53.959776,-1.085275,,"Account of the celebration, 175",
proclamation of peace Corporation assembled,,patriotic,blu_circle,Guild Hall,guild hall,24/06/1814,Friday,10:00,,York,53.959776,-1.085275,,York Herald 25 June 1814,
reform meeting,,reform,grn_circle,Guild Hall,guild hall,17/02/1817,Monday,,,York,53.959776,-1.085275,,York Herald 15 Feb 1817,
meeting for new police act,,local government,large_yellow,Guild Hall,guild hall,28/09/1818,Monday,,,York,53.959776,-1.085275,,"York Herald, 3 Oct 1818",
public meeting on Peterloo,,radical,large_green,Guild Hall,guild hall,20/09/1819,Monday,,,York,53.959776,-1.085275,4000,"Exeter Flying Post, 30 Sep 1819; Yorks Gazette 25 Sep 1819",
public meeting on dismissal of ministers,,radical,large_green,Guild Hall,guild hall,15/11/1820,Wednesday,12:00,,York,53.959776,-1.085275,,York Herald 4 Nov 1820,
meeting on York Police Bill,,local government,large_yellow,Guild Hall,guild hall,18/01/1825,Tuesday,10:00,,York,53.959776,-1.085275,,Yorks Gazette 22 Jan 1825,
meeting to petition parl for repeal of house and window tax,,commercial,wht_pushpin,Guild Hall,guild hall,21/02/1825,Monday,11:00,,York,53.959776,-1.085275,,Yorks Gazette 19 Feb 1825,
anti-slavery meeting,,abolition,open_diamond,Guild Hall,guild hall,28/05/1828,Wednesday,,,York,53.959776,-1.085275,120,Yorks Gazette 31 May 1828,
reform,,reform,grn_circle,Guild Hall,guild hall,03/03/1831,Thursday,,,York,53.959776,-1.085275,,HHE 12 March 1831,
public meeting calling for reform,,reform,grn_circle,Guild Hall,guild hall,16/05/1832,Wednesday,,,York,53.959776,-1.085275,,York Herald 19 May 1832,
antislavery meeting,,abolition,open_diamond,festival concert room,theatre,18/10/1830,Friday,,Museum Street,York,53.960846,-1.085481,,York Courant 19 Oct 1830,
public dinner in memory of CJ Fox,,election,ltblu_circle,Assembly Room,assembly room,13/01/1819,Wednesday,,,York,53.960989,-1.085076,120,York Herald 16 Jan 1819,
York King and Constitution club anniversary dinner,,loyal,large_blue,Assembly Rooms,assembly room,25/02/1820,Tuesday,16:00,,York,53.960989,-1.085076,300,Yorks Gazette 29 Jan 1820,
public dinner for Whig election,,election,ltblu_circle,Assembly Rooms,assembly room,14/03/1820,Tuesday,,,York,53.960989,-1.085076,,York Herald 18 March 1820,
public meeting for petitioning parl for reform,,reform,grn_circle,old Assembly room,assembly room,11/11/1830,Monday,,,York,53.960989,-1.085076,,York Courant 16 Nov 1830,
coronation ball,,patriotic,blu_circle,Great Assembly Room,assembly room,08/09/1831,Thursday,,,York,53.960989,-1.085076,,York Herald 10 Sep 1831,
jubilee breakfast,,patriotic,blu_circle,York Tavern,inn/hotel,25/10/1809,,,,York,53.960143,-1.084188,50,"Account of the celebration, 175; York Herald 28 Oct 1809",
proclamation of peace breakfast,,patriotic,blu_circle,York Tavern,inn/hotel,24/06/1814,,09:00,,York,53.960143,-1.084188,,York Herald 25 June 1814,
Dundas spoke from windows to electoral crowd,,election,ltblu_circle,York Tavern,inn/hotel,14/03/1820,Tuesday,12:00,,York,53.960143,-1.084188,,York Herald 18 march 1820,
reform meeting,,reform,grn_circle,York Tavern,inn/hotel,28/12/1830,Saturday,,,York,53.960143,-1.084188,,York Courant 28 Dec 1830,
Yorks City and County Reform Assoc petition Lords for reform bill,,reform,grn_circle,York Tavern,inn/hotel,12/09/1831,Monday,,,York,53.960143,-1.084188,,York Herald 24 Sep 1831,
general meeting of Yorks City and County Reform Associ to petition on rejection of reform bill,,reform,grn_circle,York Tavern,inn/hotel,11/10/1831,Tuesday,,,York,53.960143,-1.084188,,York Herald 15 Oct 1831,
great meeting for the Charter,,Chartist,pink_circle,market place,market,01/07/1839,Monday,20:00,,York,53.959642,-1.082026,,NS 6 July 1839,
special meeting of the first district political union,,Chartist,pink_circle,"Queen pub, Petergate",pub,19/07/1839,Friday,21:00,Petergate,York,53.962129,-1.084079,,NS 27 July 1839,
jubilee breakfast,,patriotic,blu_circle,Mansion House,magistrates office,25/10/1809,,,,York,53.95994,-1.084838,,"Account of the celebration, 175; York Herald 28 Oct 1809",
dinner for coronation,,patriotic,blu_circle,Mansion House,magistrates office,01/07/1821,,,,York,53.95994,-1.084838,,LM 28 July 1821,
jubilee dinner,,patriotic,blu_circle,Clark's Hotel,inn/hotel,25/10/1809,,,,York,53.958755,-1.083472,100,"Account of the celebration, 175",
start of band procession for king's coronation,,patriotic,blu_circle,St Helen's Square,square,08/09/1831,Thursday,10:00,St Helen's Square,York,53.960151,-1.084499,,York Herald 10 Sep 1831,
weekly meeting WMA on corn laws,,ACLA,large_purple,"Working Men's Association Rooms, Salthouse Lane",working men's club,22/01/1839,Tuesday,,Salthouse Lane,Hull,53.745249,-0.3305674,,NS 26 Jan 1839,
working men's assoc,,trade union,pink_square,"Working Men's Association Rooms, Salthouse Lane",working men's club,18/02/1839,Monday,,Salthouse Lane,Hull,53.745249,-0.3305674,,NS 23 Feb 1839,
weekly meeting female patriotic assoc,,radical,large_green,"their room, Blackfriargate",working men's club,18/02/1839,Monday,,Blackfriargate,Hull,53.7403046,-0.3322128,,NS 23 Feb 1839,
sermon for Stephens defence fund,,radical,large_green,"Working Men's Association Rooms, Salthouse Lane",working men's club,24/03/1839,Sunday,,Salthouse Lane,Hull,53.745249,-0.3305674,,NS 30 March 1839,
weekly meeting,,radical,large_green,"Working Men's Association Rooms, Salthouse Lane",working men's club,26/03/1839,Tuesday,,Salthouse Lane,Hull,53.745249,-0.3305674,,NS 30 Mar 1839,
weekly meeting,,radical,large_green,"Working Men's Association Rooms, Salthouse Lane",working men's club,02/09/1839,Tuesday,,Salthouse Lane,Hull,53.745249,-0.3305674,,NS 7 sep 1839,
2 sermons by Rev W Hill,,radical,large_green,"Working Men's Association Rooms, Salthouse Lane",working men's club,08/09/1839,Sunday,,Salthouse Lane,Hull,53.745249,-0.3305674,,NS 14 Sep 1839,
temperance meeting,,temperance,prayer,infants' school room,working men's club,18/02/1839,Monday,,Salthouse Lane,Hull,53.745249,-0.3305674,,NS 23 Feb 1839,
dinner to Mr Sykes,,radical,large_green,"Boys Schoolroom, Salthouse Lane",working men's club,24/09/1830,Friday,,Salthouse Lane,Hull,53.745249,-0.3305674,270,"Hull Packet, 28 Sep 1830",
Chartist meeting,,Chartist,pink_circle,"Large Room, Salthouse Lane",working men's club,26/07/1839,,,Salthouse Lane,Hull,53.745249,-0.3305674,,NS 3 Aug 1839,
democratic association,,radical,large_green,"Large Room, Salthouse Lane",working men's club,01/09/1839,Monday,20:00,Salthouse Lane,Hull,53.745249,-0.3305674,,NS 7 Sep 1839,
election club to support radical candidates,,radical,large_green,"their rooms, Salthouse Lane",working men's club,10/09/1839,Tuesday,20:00,Salthouse Lane,Hull,53.745249,-0.3305674,,NS 14 Sep 1839,
democratic association,,radical,large_green,"their rooms, Salthouse Lane",working men's club,25/09/1839,Wednesday,,Salthouse Lane,Hull,53.745249,-0.3305674,,NS 28 Sep 1839,
Radical reformers meet to form a society,,radical,large_green,"Masons' Arms, Chapel Lane",pub,01/09/1830,,,Chapel Lane,Hull,53.7436866,-0.3315729,,"Hull Packet, 28 Sep 1830",http://www.hullcc.gov.uk/museumcollections/collections/search-results/display.php?SearchSubmit_x=1&accessionnumber=&keywords=hull&keywordsorig=&placeorig=&titleorig=&ImagesOnly=yes&sorton=artist&Sender=Contact&Page=134&irn=163941
peace petition to House of Commons,,reform,grn_circle,Guild Hall,town hall,01/01/1795,,,market place,Hull,53.74073,-0.333887,,"Hull Advertiser, 6 feb 1795",
anti-peace address meeting,,loyal,large_blue,Guild Hall,town hall,30/01/1795,Friday,,market place,Hull,53.74073,-0.333887,,Hull Advertiser 6 Feb 1795,
shipowners meeting on Pitt's plans to man the navy,,commercial,wht_pushpin,Guild Hall,town hall,05/02/1795,Wednesday,,market place,Hull,53.74073,-0.333887,,Hull Advertiser 6 Feb 1795,
shipowners meeting on navy bill,,commercial,wht_pushpin,Guild Hall,town hall,12/02/1795,Wednesday,,market place,Hull,53.74073,-0.333887,,Hull Advertiser 14 Feb 1795,
General QS on diminishing consumption of wheat,,local government,large_yellow,Guild Hall,town hall,16/07/1795,Thursday,,market place,Hull,53.74073,-0.333887,,"Hull Advertiser, 25 July 1795",
address to HM on his escape,,loyal,large_blue,Guild Hall,town hall,09/11/1795,Tuesday,,market place,Hull,53.74073,-0.333887,,Hull Advertiser 13 Nov 1795,
address to Col Wardle,,radical,large_green,Guild Hall,town hall,19/04/1809,Wednesday,,market place,Hull,53.74073,-0.333887,,Cobbett's PR 13 May 1809,
reform meeting,,reform,grn_circle,Guild Hall,town hall,03/02/1817,Monday,,market place,Hull,53.74073,-0.333887,,Hull Advertiser 8 Feb 1817,
reform meeting,,reform,grn_circle,Guild Hall,town hall,17/10/1831,Monday,,market place,Hull,53.74073,-0.333887,,Hull packet 18 Oct 1831,
meeting on restoration of habeas corpus,,radical,large_green,Cross Keys,pub,05/02/1795,Wednesday,,Whitefriargate,Hull,53.743346,-0.337594,,Hull Advertiser 6 Feb 1795,
"King's birthday, Indep volunteers muster",,patriotic,blu_circle,marketplace,market,04/06/1795,Friday,,market place,Hull,53.741331,-0.333528,,"Hull Advertiser, 5 June 1795",
female radical dinner to MR Vincent,,Chartist,pink_circle,Royal Oak,pub,16/11/1838,Friday,,Blackfriargate,Hull,53.740372,-0.332337,,Blackburn Standard 28 Nov 1838,
Electoral Union to concentrate radical votes in the borough,,Chartist,pink_circle,Royal Oak,pub,24/12/1838,Monday,,Blackfriargate,Hull,53.740372,-0.332337,,NS 29 Dec 1838,http://www.hullcc.gov.uk/museumcollections/collections/search-results/display.php?irn=78560&SearchSubmit_x=1&accessionnumber=&keywords=hull&keywordsorig=&placeorig=&titleorig=&ImagesOnly=yes&Sender=Contact&Page=155
election union meeting of number 1 district,,Chartist,pink_circle,Royal Oak,pub,09/08/1839,Friday,20:00,Blackfriargate,Hull,53.740372,-0.332337,,NS 17 Aug 1839,
Chartist dinner after Dock Green meeting,,Chartist,pink_circle,Royal Oak,pub,24/09/1839,Tuesday,20:00,Blackfriargate,Hull,53.740372,-0.332337,,NS 28 Sep 1839,
weekly meeting female patriotic society,,Chartist,pink_circle,Royal Oak,pub,01/09/1839,,,Blackfriargate,Hull,53.740372,-0.332337,,NS 14 Sep 1839,
public meeting to elect delegates to National Convention,,Chartist,pink_circle,Royal Oak,pub,20/12/1839,Friday,20:00,Blackfriargate,Hull,53.740372,-0.332337,,NS 28 Dec 1839,
Democratic association,,Chartist,pink_circle,White Hart,pub,09/09/1839,Monday,,Salthouse Lane,Hull,53.7449924,-0.3306642,,NS 14 Sep 1839,http://www.britishlistedbuildings.co.uk/en-387424-white-hart-hotel-#.VfCp8K0tKT8
start of procession on jubilee,,patriotic,blu_circle,Mansion House,town hall,25/10/1809,,,Lowgate,Hull,53.74443,-0.33328,,account of the celebration 180,
subscription for relief of the poor,,local government,large_yellow,Mansion House,town hall,03/12/1816,Tuesday,12:00,Lowgate,Hull,53.74443,-0.33328,,Hull Advertiser 7 Dec 1816,
meeting to consider conduct of ministers prosecuting Queen Caroline,,radical,large_green,Mansion House,town hall,30/11/1820,,,Lowgate,Hull,53.74443,-0.33328,,LM 2 Dec 1820,
meeting to petition parl to repeal local acts relating to the poor,,ANPL,wht_pushpin,Mansion House,town hall,12/05/1823,Monday,,Lowgate,Hull,53.74443,-0.33328,,Hull Packet 12 May 1823,
general meeting of Hull ship owners society,,commercial,wht_pushpin,Mansion House,town hall,12/04/1827,Thursday,,Lowgate,Hull,53.74443,-0.33328,,Hull Packet 17 April 1827,
jubilee dinner,,patriotic,blu_circle,Assembly Rooms,assembly rooms,25/10/1809,,17:00,,Hull,53.7477761,-0.3368826,169,Account of the celebration 181,
jubilee ball,,patriotic,blu_circle,Assembly Rooms,assembly rooms,26/10/1809,,,,Hull,53.7477761,-0.3368826,170,Account of the celebration 181,
dinner for king's birthday,,patriotic,blu_circle,Neptune Inn,pub,04/06/1810,,,,Hull,53.74293,-0.335786,60,Hull Packet 12 June 1810,http://openplaques.org/plaques/7803
meeting for reform and to address Burdett,,radical,large_green,Shambles,market,25/05/1810,Wednesday,,Blackfriargate,Hull,53.740864,-0.333272,,Hull Packet 29 May 1810,
radical meeting to hear Vincent,,radical,large_green,Sculcoates' Commercial Hotel,inn/hotel,09/11/1838,Friday,,,Hull,53.747906,-0.329777,,Champion 18 Nov 1838,http://www.paul-gibson.com/pubs-and-breweries/lost-pubs-of-hull-s.php
formation of parliamentary reform association,,reform,grn_circle,George Inn,inn/hotel,21/05/1832,Wednesday,,Land of Green Ginger,Hull,53.7431102,-0.3344044,,LM 2 June 1832,
Tea party on liberation of Robert Peddie from Beverley,,Chartist,pink_circle,Mr Hill's Chapel,church/chapel,06/03/1842,Monday,,,Hull,53.7416467,-0.3373661,,NS 4 Mar 1842,
Cobbett's lectures,,reform,grn_circle,chapel in Dagger Lane,church/chapel,1/03/1832,Thursday,,,Hull,53.7416467,-0.3373661,,Hull Packet 6 March 1832,http://www.paul-gibson.com/streets-and-architecture/dagger-lane.php
ACLA,,ACLA,large_purple,"reading room, Hull Operative conservative society, Lowgate",own room,11/02/1839,Monday,,Lowgate,Hull,53.761189,-0.317964,,The Corn Laws' pamphlet,https://books.google.co.uk/books?id=9N8yAQAAMAAJ&lpg=PA3&ots=vGAVjp-0rE&dq=hull%20lowgate%20operative%20conservative%20society&pg=PA3#v=onepage&q&f=false
chartist lecture,,Chartist,pink_circle,"Christian Church', Mason's Arms Yard, Chapel Lane, Lowgate",pub,03/05/1841,Monday,19:00,,Hull,53.7436866,-0.3315729,,MS 1 May 1841,
public meeting to petition parl against the Irish Arms Bill,,Irish,large_green,"Freemason's Lodge, Mytongate",lodge,19/06/1843,Monday,,Mytongate,Hull,53.7406091,-0.3441905,,NS 24 June 1843,
address to HM on his escape,,loyal,large_blue,Guild Hall,guild hall,09/11/1795,Tuesday,,,Beverley,53.84147,-0.42999,,Hull Advertiser 13 Nove 1795,
breakfast with Prince William of Gloucester with Corporation,,patriotic,blu_circle,Guild Hall,guild hall,12/11/1795,Friday,,,Beverley,53.84147,-0.42999,,Hull Advertiser 13 Nove 1795,
vote of thanks to Wardle viz D of Y affair,,radical,large_green,Guild Hall,guild hall,03/05/1809,Wednesday,,,Beverley,53.84147,-0.42999,,Cobbett's PR 20 May 1809,
celebration of late glorious events tending to emancipate Europe',,patriotic,blu_circle,Guild Hall,guild hall,22/12/1813,Wednesday,,,Beverley,53.84147,-0.42999,,DDX 24/24,
meeting about relief of the poor,,local government,large_yellow,Guild Hall,guild hall,03/01/1821,Wednesday,,,Beverley,53.84147,-0.42999,,DDX 24/24,
celebration of king's coronation,,patriotic,blu_circle,Guild Hall,guild hall,19/07/1821,Thursday,,,Beverley,53.84147,-0.42999,,DDX 24/24,
jubilee feu de joie,,patriotic,blu_circle,market place,market,25/10/1809,,,,Beverley,53.842967,-0.4324096,,"Account of the celebrations, 176",
fireworks,,patriotic,blu_circle,market place,market,22/12/1813,Wednesday,20:00,,Beverley,53.842967,-0.4324096,,DDX 24/24,
Independent Volunteers first appearance,,patriotic,blu_circle,St Mary's church,church/chapel,25/12/1794,,,,Beverley,53.8440614,-0.4342181,,"Hull Advertiser, 2 Jan 1795",
ER meeting of committee for Internal Defence,,local government,large_yellow,Tiger Inn,pub,20/06/1795,Saturday,,,Beverley,53.8379266,-0.4301833,,"Hull Advertiser, 27 June 1795",
friends of Mr Bethell,,election,ltblu_circle,Tiger Inn,pub,21/07/1830,Wednesday,12:00,,Beverley,53.8379266,-0.4301833,,Yorks Gazette 24 July 1830,
AGM of Cons Assoc,,election,ltblu_circle,Conservative News Room,own room,04/03/1840,Wednesday,,,Beverley,53.8379266,-0.4301833,,Hull Packet 6 March 1840,
Chartist lecture,,Chartist,pink_circle,Temperance Hall,temperance hall,14/04/1848,Friday,,,Beverley,53.840854,-0.428669,,Hull Packet 21 April 1848,http://beverleyfm.com/history/beverley-history-temperance-hall/
loyal address to the Queen,,loyal,large_blue,Council Chamber,town hall,19/04/1848,Wednesday,,,Beverley,53.84147,-0.42999,,Hull Packet 21 April 1848,
loyal address meeting,,loyal,large_blue,town hall,town hall,07/12/1792,Friday,12:00,,Chester,53.1918,-2.8927,,Chester Chronicle 7 Dec 1792,
meetingto subscribe for relief of the poor,,local government,large_yellow,town hall,town hall,18/12/1816,Wednesday,,,Chester,53.1918,-2.8927,,Chester Courant 24 Dec 1816,
meeting on attack on PR,,loyal,large_blue,town hall,town hall,12/02/1817,Wednesday,12:00,,Chester,53.1918,-2.8927,,Chester Courant 11 Feb 1817,
meeting of inhabs under the mayor against radical meetings,,loyal,large_blue,town hall,town hall,31/07/1819,Wednesday,,,Chester,53.1918,-2.8927,,Chester Courant 10 August 1819,
King and Constitution Club annual dinner,,loyal,large_blue,Town hall and assembly room,town hall,17/07/1817,Thursday,,,Chester,53.1918,-2.8927,,"Chester Chronicle, 18 July 1817",
king's birthday,,patriotic,blu_circle,regatta on river Dee,open space,04/06/1819,,,,Chester,53.187533,-2.886497,,Chester Courant 8 June 1819,
king's birthday dinner,,patriotic,blu_circle,"Bear and Billet, Bridge St",pub,04/06/1819,,,Bridge Street,Chester,53.18792,-2.889962,,Chester Courant 8 June 1819,http://www.bearandbillet.com/contact.htm
radical meeting,,radical,large_green,ground near the New Church,open space,31/07/1819,Wednesday,16:00,,Chester,53.2012543,-2.9414131,,Chester Courant 10 Aug 1819,
